XDate	XEUR
11.6.2013	25.61
12.6.2013	25.67
13.6.2013	25.73
14.6.2013	25.72
15.6.2013	25.72
16.6.2013	25.72
17.6.2013	25.73
18.6.2013	25.68
19.6.2013	25.68
20.6.2013	25.80
21.6.2013	25.82
22.6.2013	25.82
23.6.2013	25.82
24.6.2013	25.86
25.6.2013	25.80
26.6.2013	25.86
27.6.2013	25.90
28.6.2013	25.95
29.6.2013	25.95
30.6.2013	25.95
1.7.2013	25.98
2.7.2013	25.99
3.7.2013	26.02
4.7.2013	26.05
5.7.2013	26.05
6.7.2013	26.05
7.7.2013	26.05
8.7.2013	25.95
9.7.2013	25.87
10.7.2013	25.93
11.7.2013	25.91
12.7.2013	25.98
13.7.2013	25.98
14.7.2013	25.98
15.7.2013	26.02
16.7.2013	25.95
17.7.2013	25.96
18.7.2013	25.93
19.7.2013	25.95
20.7.2013	25.95
21.7.2013	25.95
22.7.2013	25.98
23.7.2013	25.98
24.7.2013	25.93
25.7.2013	25.95
26.7.2013	25.95
27.7.2013	25.95
28.7.2013	25.95
29.7.2013	25.91
30.7.2013	25.85
31.7.2013	25.86
1.8.2013	25.95
2.8.2013	25.95
3.8.2013	25.95
4.8.2013	25.95
5.8.2013	25.93
6.8.2013	25.92
7.8.2013	25.98
8.8.2013	25.82
9.8.2013	25.93
10.8.2013	25.93
11.8.2013	25.93
12.8.2013	25.88
13.8.2013	25.88
14.8.2013	25.82
15.8.2013	25.82
16.8.2013	25.80
17.8.2013	25.80
18.8.2013	25.80
19.8.2013	25.86
20.8.2013	25.77
21.8.2013	25.77
22.8.2013	25.74
23.8.2013	25.66
24.8.2013	25.66
25.8.2013	25.66
26.8.2013	25.63
27.8.2013	25.76
28.8.2013	25.72
29.8.2013	25.68
30.8.2013	25.73
31.8.2013	25.73
1.9.2013	25.73
2.9.2013	25.68
3.9.2013	25.72
4.9.2013	25.78
5.9.2013	25.74
6.9.2013	25.76
7.9.2013	25.76
8.9.2013	25.76
9.9.2013	25.83
10.9.2013	25.84
11.9.2013	25.77
12.9.2013	25.82
13.9.2013	25.77
14.9.2013	25.77
15.9.2013	25.77
16.9.2013	25.77
17.9.2013	25.72
18.9.2013	25.81
19.9.2013	25.73
20.9.2013	25.82
21.9.2013	25.82
22.9.2013	25.82
23.9.2013	25.92
24.9.2013	25.93
25.9.2013	25.88
26.9.2013	25.81
27.9.2013	25.69
28.9.2013	25.69
29.9.2013	25.69
30.9.2013	25.73
1.10.2013	25.65
2.10.2013	25.61
3.10.2013	25.56
4.10.2013	25.56
5.10.2013	25.56
6.10.2013	25.56
7.10.2013	25.51
8.10.2013	25.52
9.10.2013	25.61
10.10.2013	25.53
11.10.2013	25.53
12.10.2013	25.53
13.10.2013	25.53
14.10.2013	25.55
15.10.2013	25.61
16.10.2013	25.68
17.10.2013	25.70
18.10.2013	25.78
19.10.2013	25.78
20.10.2013	25.78
21.10.2013	25.81
22.10.2013	25.73
23.10.2013	25.82
24.10.2013	25.77
25.10.2013	25.75
26.10.2013	25.75
27.10.2013	25.75
28.10.2013	25.75
29.10.2013	25.75
30.10.2013	25.75
31.10.2013	25.72
1.11.2013	25.85
2.11.2013	25.85
3.11.2013	25.85
4.11.2013	25.84
5.11.2013	25.84
6.11.2013	25.79
7.11.2013	26.85
8.11.2013	26.97
9.11.2013	26.97
